commit	val_bpb	memory_gb	status	description
7f57dc8	0.000000	0.0	crash	baseline hrm config OOM on MPS
7026845	2.627101	2.1	keep	baseline (linux/cuda shim)
4d32d8c	2.626379	1.5	keep	gpu0 run1 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626823	2.7	discard	gpu1 run1 DEPTH=8 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.1 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626761	2.7	discard	gpu3 run1 DEPTH=8 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626775	2.7	discard	gpu2 run1 DEPTH=8 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626426	1.5	discard	gpu0 run2 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=0.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626305	1.5	keep	gpu1 run2 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=0.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626575	1.5	discard	gpu3 run2 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.3 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626407	1.6	discard	gpu2 run2 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=65 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626147	1.5	keep	gpu0 run3 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626338	1.5	discard	gpu1 run3 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3316507067710837 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=0.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626354	1.5	discard	gpu3 run3 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=0.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626345	1.5	discard	gpu2 run3 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=2 L_CYCLES=2 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.3 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.15 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=0.0 ZERO_O_PROJ_INIT=1
